event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2020-05-25,2020,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Los Reyes de Salgado,19.5882,-102.4697,"On 25 May 2020, in the Municipality of Los Reyes (coded as Los Reyes de Salgado), Michoacan de Ocampo, suspected members of CJNG and CU (a partnership of several cartels, including CDG, Zetas, CDS) clashed on the Los Reyes-Tocumbo road. There were (narco) roadblocks as well, and at least two vehicles were burned. Casualties unknown."
2020-05-27,2020,Cartel del Noreste,Gulf Cartel (Golfo),1,Tamaulipas,Reynosa,26.0924,-98.2781,"On 27 May 2020, in Reynosa, Tamaulipas, members of the CDN, and the Gulf Cartel clashed. One man died. 1 fatality."
2020-06-01,2020,CJNG,Cartel del Noreste,1,Quintana Roo,Cancun,21.1614,-86.8248,"Around 1 June 2020 (as reported), in Cancun, Quintana Roo, a Venezuelan woman and alleged CDN member was killed and her body was found dismembered inside two bags. Next to the bags a threatening message was found addressed to several police commanders and signed by the CJNG. 1 fatality"
2020-06-08,2020,Cartel del Noreste,Gulf Cartel (Golfo),0,Tamaulipas,Comales,26.1805,-98.9195,"On 8 June 2020, near Comales, Tamaulipas, members of CDN, and the Gulf Cartel clashed. Several trucks were set on fire in the place of the clash. Neither fatalities nor injuries reported."
2020-06-14,2020,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Tepalcatepec,19.1914,-102.8437,"On 14 June 2020, in Tepalcatepec municipality, Michoacan, members of CJNG and United Cartels clashed. Neither fatalities nor injuries reported."
2020-06-20,2020,CJNG,Santa Rosa de Lima,2,Guanajuato,Salamanca,20.5687,-101.1999,"Around 20 June 2020 (as reported), in Salamanca, Guanajuato, two men were killed and their dismembered bodies were found inside several bags in Colonia Constituyentes. The victims who were allegedly members of the CJNG were found along with a message and the alleged perpetrators were from the Santa Rosa de Lima Cartel."
2020-06-20,2020,Los Chapitos (Sinaloa),Los Mayitos,0,Sinaloa,Culiacan Rosales,24.8088,-107.394,"On 20 June 2020, in Culiacan Rosales, Sinaloa, an armed clash between Los Chapitos Gang and Los Mayito Gang was reported in Fraccionamiento Zona Dorada. It was a drive-by incident as the shots were fired from at least 4 vehicles. Some sources indicate that at least two people were injured."
2020-06-24,2020,Los Chapitos (Sinaloa),Los Mayitos,7,Sinaloa,La Mojonera,24.3375,-107.3184,"On 24 June 2020, between La Mojonera and La Vainilla, Sinaloa, members of Los Chapitos clashed with members of Los Mayitos. These groups are identified as fractions of Sinaloa Cartel who separated after internal disputes. Allegedly ten men dressed with military equipment were found dead. Between 7 and 11 people died."
2020-07-09,2020,CJNG,Carteles Unidos,0,Michoacan de Ocampo,Bonifacio Moreno,18.9881,-102.7131,"On 9 July 2020, in Bonifacio Moreno, Michoacan, armed clashes were reported between the CJNG and United Cartels (CU). Some reports say that the clash took place between members of the CJNG and Los Viagras Gang, members of the CU. Members of The Knights Templar Gang were seen travelling in armoured vans in the area. It is not known whether there were any injuries or deaths."
2020-07-11,2020,CJNG,Los Viagras,0,Michoacan de Ocampo,El Limoncito,18.5802,-102.9057,"On 11 July 2020, in El Limoncito, Michoacan de Ocampo, members of CJNG and members of Los Viagras clashed. During the clash, (narco) roadblocks were set with vehicles set on fire. No casualties occurred."
